"","Galaxy","Type","N_GC","N_GC_err","Mdyn","MBH","sig_e","err_sig_e","A_V","MV_T","err_MV_T","MK","Re","upMBH","lowMBH"
"30","NGC1023","S0",490,30,10.95,7.64,209,10,0.201,-21.14,0.2,"-24.074","2.19",0.04,0.04
"31","NGC1023A","Irr",6,2,NA,NA,NA,NA,0.202,-15.55,0.53,"NA","NA",NA,NA
"32","NGC1052","E",400,45,11.1,0,206.9,4,0.088,-21.05,0.2,"-23.992","3.16",8.53,0
"33","NGC1055","S",210,40,NA,NA,80,15,0.109,-21.3,0.2,"-24.255","NA",NA,NA
"34","NGC1132","E",3613,295,11.946,NA,246,8.7,0.209,-22.76,0.2,"-25.674","15.68",NA,NA
"35","UGC-2413","E",3020,840,NA,NA,289,11,0.387,-22.45,0.2,"-25.753","NA",NA,NA
"36","ESO-154-023","S",3,1,NA,NA,NA,NA,0.046,-16.38,0.3,"NA","1.67",NA,NA
"37","NGC1172","E",365,25,10.674,NA,112.4,4.4,0.211,-20.01,0.28,"-22.468","4.02",NA,NA
"38","NGC1201","S0",230,80,10.812,NA,166.6,4.2,0.053,-20.86,0.36,"-23.860","2.51",NA,NA
"39","NGC1313","S",7,4,NA,NA,NA,NA,0.299,-19.75,0.24,"-20.560","1.71",NA,NA
"40","NGC1275","E",7800,2500,11.57,NA,258.9,13.4,0.446,-22.69,0.2,"-26.236","5.96",NA,NA
"41","NGC1311","S",5,2,NA,NA,NA,NA,0.058,-15.76,0.2,"-17.767","0.56",NA,NA
"42","ESO-301-G08","S0",16,5,NA,NA,NA,NA,0.054,-17.01,0.2,"NA","1.28",NA,NA
"43","NGC1316","S0",1000,500,11.692,8.24,227.7,3.1,0.069,-23.16,0.2,"-26.041","10.19",0.17,0.23
"44","FCC-0025","E",3,4,NA,NA,NA,NA,0.057,-14.47,0.2,"NA","NA",NA,NA
"45","ESO-357-G25","S0",22,7,NA,NA,NA,NA,0.043,-17.4,0.2,"-18.750","0.74",NA,NA
"46","ESO-358-G01","S0",37,15,9.674,NA,52.9,4.6,0.039,-18.6,0.2,"-20.660","1.81",NA,NA
"47","IC1919","E",21,10,9.674,NA,52.9,4.6,0.039,-18.31,0.2,"-20.660","1.81",NA,NA
"48","NGC1332","S0",1000,500,11.42,9.17,320.9,13.7,0.108,-21.62,0.2,"-24.760","2.75",0.06,0.06
"49","FCC-0046","E",10,5,NA,NA,61,5,0.051,-16.57,0.2,"-19.443","NA",NA,NA
"50","NGC1336","E",276,100,10.344,NA,101.2,3.9,0.037,-19.14,0.2,"-21.562","2.32",NA,NA
"51","ESO-358-G06","S0",37,15,9.369,NA,45.8,1.2,0.027,-18.43,0.2,"-20.795","1.20",NA,NA
"52","FCC-0059","E",0,4,NA,NA,NA,NA,0.036,-13.13,0.2,"NA","NA",NA,NA
"53","NGC1339","E",231,80,10.549,NA,161.2,3.2,0.044,-20.01,0.2,"-22.858","1.46",NA,NA
"54","NGC1344","E",280,100,10.874,NA,166,3.9,0.059,-21.18,0.2,"-24.116","2.92",NA,NA
"55","NGC1345","S",16,8,NA,NA,NA,NA,0.125,-17.87,0.22,"-20.371","1.77",NA,NA
"56","NGC1351","E",274,90,10.83,NA,140.2,3,0.046,-20.96,0.2,"-23.713","3.70",NA,NA
"57","FCC-90","E",21,7,NA,NA,NA,NA,0.033,-17.77,0.2,"-19.621","0.99",NA,NA
"58","FCC-95","S0",21,7,NA,NA,NA,NA,0.041,-17.88,0.2,"-20.015","NA",NA,NA
"59","FCC-100","E",34,12,NA,NA,NA,NA,0.039,-17.07,0.2,"NA","NA",NA,NA
"60","FCC-106","S0",15,5,NA,NA,NA,NA,0.029,-17.49,0.2,"-19.478","NA",NA,NA
"61","IC1959","S",7,3,NA,NA,NA,NA,0.03,-16.81,0.2,"-17.997","0.70",NA,NA
"62","FCC-119","S0",17,6,NA,NA,NA,NA,0.038,-17.39,0.2,"NA","1.73",NA,NA
"63","FCC-136","E",25,8,10.418,NA,112.4,22.5,0.044,-17.87,0.2,"-19.675","2.23",NA,NA
"64","FCC-146","E",1,3,NA,NA,NA,NA,0.04,-13.03,0.2,"NA","NA",NA,NA
"65","NGC1374","E",360,19,10.883,NA,186.4,3.9,0.046,-20.43,0.2,"-23.309","2.37",NA,NA
"66","NGC1375","S0",86,30,9.826,NA,66.1,1.7,0.048,-19.16,0.2,"-21.905","1.65",NA,NA
"67","FCC-150","E",10,5,NA,NA,63,3,0.038,-16.47,0.2,"-18.283","NA",NA,NA
"68","ESO-358-G26","S0",60,20,9.684,NA,64.4,4.4,0.039,-19.55,0.2,"-22.438","1.25",NA,NA
"69","ESO-358-G25","S0",16,5,9.634,NA,56.9,2.8,0.028,-18.49,0.2,"-20.684","1.43",NA,NA
"70","NGC1379","E",225,23,10.572,NA,120.1,2.3,0.04,-20.64,0.2,"-23.276","2.78",NA,NA
"71","NGC1380","S0",424,100,11.178,NA,218.5,4.8,0.058,-21.51,0.24,"-24.515","3.39",NA,NA
"72","NGC1381","S0",71,25,10.38,NA,151.2,2.5,0.045,-19.91,0.23,"-22.950","1.13",NA,NA
"73","FCC-174","E",10,5,NA,NA,NA,NA,0.021,-15.47,0.2,"NA","NA",NA,NA
"74","NGC1380A","S0",70,25,9.605,NA,54.4,3.7,0.049,-18.78,0.27,"-21.569","1.46",NA,NA
"75","FCC-182","S0",59,20,9.642,NA,61.6,3.2,0.036,-17.57,0.2,"-19.855","1.24",NA,NA
"76","NGC1387","E",390,27,10.774,NA,170.2,11.8,0.042,-20.84,0.2,"-24.065","2.20",NA,NA
"77","FCC-189","E",1,4,NA,NA,NA,NA,0.038,-13.37,0.2,"NA","NA",NA,NA
"78","NGC1380B","S0",156,50,9.966,NA,78.1,2.9,0.057,-18.85,0.2,"-21.676","1.63",NA,NA
"79","NGC1389","S0",48,16,10.411,NA,135.1,6.2,0.035,-20.13,0.21,"-22.969","1.52",NA,NA
"80","ESO-358-G42","E",30,10,NA,NA,NA,NA,0.032,-16.93,0.2,"-18.587","1.69",NA,NA
"81","ESO-358-G43","S0",17,6,9.722,NA,67,4,0.029,-17.36,0.2,"-19.778","1.26",NA,NA
"82","NGC1399","E",6000,700,12.011,8.69,337,16,0.043,-22.03,0.2,"-25.276","9.70",0.06,0.07
"83","NGC1404","E",770,140,11.153,NA,234.4,4.2,0.038,-21.59,0.2,"-24.735","2.78",NA,NA
"84","NGC1400","S0",2960,958,11.31,NA,251.5,4.4,0.214,-21.36,0.2,"-24.322","3.47",NA,NA
"85","NGC1427A","Irr",38,15,NA,NA,NA,NA,0.033,-18.5,0.2,"-17.151","2.81",NA,NA
"86","NGC1407","E",7000,2000,11.85,NA,270.6,6.1,0.228,-22.86,0.35,"-25.623","10.38",NA,NA
"87","FCC-238","E",2,2,NA,NA,NA,NA,0.025,-13.47,0.2,"NA","NA",NA,NA
"88","FCC-242","E",0,3,NA,NA,NA,NA,0.039,-14.37,0.2,"NA","NA",NA,NA
"89","FCC-246","E",0,3,NA,NA,NA,NA,0.031,-13.07,0.2,"NA","NA",NA,NA
"90","NGC1419","E",155,50,10.062,NA,120.8,2.8,0.043,-18.97,0.22,"-21.640","0.85",NA,NA
"91","FCC-254","E",6,5,NA,NA,NA,NA,0.028,-14.57,0.2,"NA","NA",NA,NA
"92","ESO-358-G50","S0",80,25,9.43,NA,48.2,7.9,0.016,-18.59,0.2,"-21.071","1.25",NA,NA
"93","NGC1427","E",500,60,10.862,NA,162.1,3.5,0.037,-20.74,0.24,"-23.426","2.98",NA,NA
"94","NGC1428","E",42,13,9.751,NA,81.7,10.5,0.028,-18.7,0.2,"999999","0.91",NA,NA
"95","NGC1426","E",240,20,10.801,NA,150.5,2.2,0.055,-20.58,0.24,"-23.245","3.00",NA,NA
"96","ESO-358-G56","S0",17,6,9.307,NA,48,3,0.016,-16.96,0.2,"-18.967","0.95",NA,NA
"97","NGC1439","E",260,30,10.972,NA,150.2,5.4,0.099,-20.84,0.2,"-23.570","4.46",NA,NA
"98","ESO-358-G59","E",21,7,9.284,NA,46.7,1.6,0.025,-18.49,0.2,"-21.001","0.95",NA,NA
"99","FCC-303","E",22,7,NA,NA,27,11,0.029,-17.36,0.2,"-17.432","NA",NA,NA
"100","NGC1460","S0",39,12,9.815,NA,60.4,7.2,0.03,-18.9,0.2,"-21.542","1.92",NA,NA
"101","FCC-316","E",21,7,NA,NA,NA,NA,0.03,-15.47,0.2,"NA","NA",NA,NA
"102","ESO-358-G66","S0",21,7,NA,NA,NA,NA,0.026,-17.22,0.2,"-18.314","1.82",NA,NA
"103","ESO-359-G02","E",14,5,9.626,NA,53.5,2.6,0.04,-18.18,0.2,"-20.176","1.59",NA,NA
"104","NGC1483","S",5,4,NA,NA,NA,NA,0.023,-18.32,0.2,"-20.397","1.66",NA,NA
"105","IC2006","E",132,40,10.531,NA,123.7,2.3,0.03,-20.27,0.2,"-23.052","2.38",NA,NA
"106","UGCA-86","Irr",11,4,NA,NA,NA,NA,2.583,-16.13,0.2,"-14.510","NA",NA,NA
"107","IC2035","E",55,10,9.838,NA,106.7,2.3,0.037,-19.71,0.2,"-22.724","0.65",NA,NA
"108","NGC1533","E",250,30,11.003,NA,185.4,4.9,0.051,-20.98,0.54,"-24.031","3.15",NA,NA
"109","NGC1549","E",140,60,11.258,NA,202.3,4,0.042,-21.72,0.27,"-24.691","4.76",NA,NA
"110","NGC1553","S0",540,160,11.177,NA,177.2,4.3,0.044,-21.98,0.26,"-25.064","5.15",NA,NA
"111","NGC1581","E",4,4,NA,NA,NA,NA,0.024,-18.96,0.3,"-21.944","1.15",NA,NA
"112","NGC1600","E",2850,500,12.179,NA,334.3,7.2,0.147,-23.33,0.2,"-26.073","14.53",NA,NA
"113","UGCA-92","Irr",2,2,NA,NA,NA,NA,2.173,-14.71,0.2,"NA","1.01",NA,NA
"114","ESO-118-034","S0",3,2,NA,NA,NA,NA,0.043,-17.45,0.2,"-20.517","0.50",NA,NA
"115","NGC1700","E",1320,270,11.322,NA,238.5,4.2,0.142,-22.14,0.2,"-25.157","3.97",NA,NA
"116","UGC-3274","Irr",6870,1970,NA,NA,195.2,10.7,0.459,-21.1,0.2,"-25.549","NA",NA,NA
"117","CGCG421-019","E",6850,2100,NA,NA,311.6,17.6,0.522,-22.3,0.2,"-25.687","NA",NA,NA
"118","LMC","Irr",16,5,NA,NA,NA,NA,0.206,-18.36,0.2,"NA","NA",NA,NA
"119","ESO-306-017","E",11577,1046,12.404,NA,269.9,13.1,0.108,-23.7,0.2,"-26.430","37.39",NA,NA
"120","NGC2082","S",27,17,NA,NA,NA,NA,0.192,-19.38,0.21,"-21.912","2.23",NA,NA
"121","NGC2329","E",2120,780,11.662,0,239.9,4.7,0.236,-22.41,0.29,"-25.246","8.58",8.36,0
"122","UGC-3755","Irr",9,3,NA,NA,NA,NA,0.244,-15.5,0.2,"NA","0.86",NA,NA
"123","ESO-059-01","Irr",1,1,NA,NA,NA,NA,0.402,-14.6,0.2,"NA","1.06",NA,NA
"124","NGC2434","E",143,40,10.972,NA,186.9,6.8,0.821,-21.23,0.35,"-23.873","2.89",NA,NA
"125","UGC-3974","Irr",4,2,NA,NA,NA,NA,0.092,-15.33,0.2,"NA","NA",NA,NA
"126","UGC-4115","Irr",5,2,NA,NA,NA,NA,0.077,-15.12,0.2,"NA","1.01",NA,NA
"127","UGC-4289","E",2690,740,11.762,NA,245.2,7.3,0.161,-22.46,0.26,"-25.540","10.33",NA,NA
"128","DDO-52","Irr",2,2,NA,NA,NA,NA,0.1,-14.98,0.2,"NA","1.50",NA,NA
"129","KK-197","Irr",3,2,NA,NA,NA,NA,0.466,-13.04,0.2,"-16.482","NA",NA,NA
"130","NGC2683","S",120,40,10.429,NA,117.5,9,0.109,-19.8,0.46,"-23.125","2.09",NA,NA
"131","NGC2758","S",99,32,NA,NA,NA,NA,0.346,-20.57,0.2,"-21.147","2.66",NA,NA
"132","A754-1","E",16400,4800,12.569,NA,346,9.8,0.172,-24.19,0.2,"-26.531","33.24",NA,NA
"133","A754-2","S",4600,800,NA,NA,NA,NA,0.17,-22.1,0.2,"-24.611","NA",NA,NA
"134","NGC2768","E",720,240,11.317,NA,181.1,3.7,0.147,-22.03,0.36,"-24.769","6.80",NA,NA
"135","NGC2778","E",50,30,10.698,7.15,175,8,0.069,-19.45,0.36,"-22.294","1.75",0.3,0.3
"136","NGC2832","E",4400,1000,12.121,0,334,7.4,0.06,-23.25,0.2,"-26.368","12.73",9.95,0
"137","NGC2865","E",712,108,10.858,NA,171.6,3.5,0.27,-21.5,0.26,"-24.461","2.63",NA,NA
"138","ESO-498-005","S",58,12,NA,NA,NA,NA,0.108,-19.7,0.2,"-22.322","3.77",NA,NA
"139","NGC2915","S",NA,0,NA,NA,NA,NA,0.753,-16.12,0.2,"-18.298","0.31",NA,NA
"140","NGC2902","S0",35,20,NA,NA,NA,NA,0.217,-20.62,0.31,"-23.531","2.48",NA,NA
"141","NGC3056","S0",23,10,9.7,NA,74.5,3.1,0.296,-19.06,0.41,"-21.824","0.97",NA,NA
"142","NGC3031","S",300,100,10.812,7.84,143,7,0.266,-21.08,0.2,"-23.949","3.41",0.11,0.06
"143","NGC3073","E",130,20,9.272,NA,34.8,3.9,0.033,-19.27,1.44,"-21.840","1.66",NA,NA
"144","ESO-499-037","S",14,11,NA,NA,NA,NA,0.205,-19.15,0.2,"-18.474","3.61",NA,NA
"145","NGC3115","S0",550,80,10.871,8.96,230,11,0.157,-21.19,0.2,"-24.134","1.51",0.19,0.15
"146","NGC3115DW1","E",60,20,9.291,NA,29,10,0.174,-17.64,0.2,"-19.987","2.50",NA,NA
"147","IKN","E",5,2,NA,NA,NA,NA,0.168,-11.51,0.2,"NA","NA",NA,NA
"148","NGC3156","S0",115,15,10.005,NA,83.5,6.8,0.113,-19.56,0.27,"-22.214","1.56",NA,NA
"149","CGCG065-015","E",2160,780,11.219,NA,272.2,13.1,0.111,-22.3,0.2,"-25.698","2.40",NA,NA
"150","NGC3226","E",470,200,11.136,NA,193.5,5.1,0.075,-20.53,0.46,"-23.298","3.93",NA,NA
"151","IC613","E",1330,440,11.041,NA,261.9,5.9,0.085,-21.85,0.2,"-25.108","1.72",NA,NA
"152","NGC3258","E",6000,150,11.518,NA,276.1,9.4,0.279,-21.33,0.33,"-24.254","4.65",NA,NA
"153","NGC3268","E",4750,150,11.424,NA,223.5,30.2,0.341,-21.6,0.34,"-24.594","5.71",NA,NA
"154","NGC3259","S",29,16,NA,NA,NA,NA,0.04,-20.35,0.3,"-21.838","2.12",NA,NA
"155","NGC3311","E",16500,2000,11.781,NA,185.2,7,0.263,-21.84,0.2,"-25.156","18.91",NA,NA
"156","NGC3348","E",3100,1000,11.444,NA,238.4,10,0.245,-22.19,0.31,"-25.152","5.26",NA,NA
"157","NGC3377","E",191,15,10.557,8.25,145,7,0.113,-19.95,0.2,"-22.786","1.84",0.19,0.29
"158","NGC3379","E",216,42,10.849,8.04,206,10,0.081,-20.9,0.2,"-23.782","1.79",0.22,0.26
"159","NGC3384","S0",120,30,10.426,7.04,143,7,0.088,-20.49,0.2,"-23.427","1.40",0.16,0.26
"160","LGC-0050","E",8,4,NA,NA,NA,NA,0.07,-14.13,0.2,"NA","NA",NA,NA
"161","NGC3414","S0",400,200,11.122,8.4,236.8,7.5,0.081,-21.1,0.42,"-24.037","2.54",0.06,0.08
"162","NGC3455","S",27,14,NA,NA,NA,NA,0.091,-17.86,0.2,"-21.192","NA",NA,NA
"163","NGC3489","S0",100,50,10.082,NA,104.5,2.3,0.055,-20.18,0.2,"-23.046","1.19",NA,NA
"164","UGC-6203","E",4880,1400,NA,NA,268.3,7.1,0.049,-22.1,0.2,"-26.072","NA",NA,NA
"165","NGC3557","E",1075,740,11.703,NA,267.7,8.3,0.327,-23.25,0.29,"-26.132","7.56",NA,NA
"166","NGC3550","S0",6600,1650,NA,NA,192.1,6.7,0.074,-22.8,0.3,"-25.968","NA",NA,NA
"167","NGC3556","S",290,80,NA,NA,NA,NA,0.057,-20.5,0.2,"-23.436","5.98",NA,NA
"168","NGC3585","E",300,100,11.256,8.51,213,10,0.212,-21.81,0.23,"-24.952","4.27",0.15,0.13
"169","NGC3599","S0",29,10,9.996,NA,67.3,4.4,0.068,-19.66,0.33,"-22.276","2.35",NA,NA
"170","NGC3607","S0",600,200,11.31,8.15,229,11,0.069,-21.5,0.2,"-24.519","4.18",0.1,0.15
"171","NGC3608","E",450,200,11.062,8.67,182,9,0.069,-21.11,0.2,"-23.720","3.74",0.09,0.1
"172","NGC3610","E",400,150,10.806,NA,162,4.6,0.033,-22.02,0.27,"-24.822","2.62",NA,NA
"173","IC712","E",3470,910,11.522,NA,345.3,13.8,0.045,-22.68,0.2,"-25.945","3.00",NA,NA
"174","NGC3818","E",590,40,11.15,NA,194.8,4.7,0.118,-21.21,0.88,"-23.946","4.00",NA,NA
"175","NGC3842","E",12000,3000,12.205,9.99,315,8,0.071,-23.14,0.2,"-25.812","17.38",0.12,0.13
"176","NGC3870","S0",13,5,8.558,NA,27.6,5.7,0.052,-17.68,0.27,"-19.853","0.51",NA,NA
"177","NGC3923","E",2800,300,11.601,NA,256.6,6.3,0.275,-22.28,0.54,"-25.330","6.51",NA,NA
"178","NGC4013","S",190,40,NA,NA,NA,NA,0.055,-20.07,0.31,"-23.617","4.80",NA,NA
"179","NGC4033","E",160,15,10.408,NA,143.2,12.3,0.157,-20.08,0.37,"-22.939","1.34",NA,NA
"180","NGC4073","E",8300,500,11.383,NA,277.2,8.6,0.074,-23.29,0.2,"-26.266","3.38",NA,NA
"181","IC3019","E",26,6,NA,NA,NA,NA,0.106,-18.04,0.2,"NA","NA",NA,NA
"182","IC3025","S0",21,6,NA,NA,NA,NA,0.058,-16.83,0.2,"-19.005","NA",NA,NA
"183","NGC4150","S0",7,4,9.899,0,85,8.4,0.06,-19.11,0.39,"-21.708","1.18",6.38,0
"184","NGC4157","S",80,20,10.3,NA,90.1,4.3,0.071,-19.66,0.2,"-23.586","2.64",NA,NA
"185","IC3032","E",2,4,NA,NA,NA,NA,0.101,-16.39,0.2,"-18.727","NA",NA,NA
"186","NGC4163","Irr",2,2,NA,NA,NA,NA,0.054,-14.21,0.2,"-14.954","0.38",NA,NA
"187","KKH-77","Irr",2,2,NA,NA,NA,NA,0.051,-14.58,0.2,"NA","0.47",NA,NA
"188","NGC4203","E",175,100,10.563,0,162.4,5.9,0.04,-20.08,0.42,"-23.499","1.49",8.08,0
"189","IC3065","S0",21,6,NA,NA,NA,NA,0.098,-17.51,0.2,"NA","NA",NA,NA
"190","VCC-158","E",10,5,NA,NA,NA,NA,0.108,-15.98,0.2,"NA","NA",NA,NA
"191","NGC4216","S",620,310,11.036,NA,206.8,9.6,0.087,-21.81,0.2,"-24.506","2.73",NA,NA
"192","VCC-200","E",16,6,NA,NA,NA,NA,0.084,-17.12,0.2,"-18.800","NA",NA,NA
"193","IC3101","E",29,7,NA,NA,NA,NA,0.076,-16.21,0.2,"-18.345","NA",NA,NA
"194","VCC-240","E",8,5,NA,NA,NA,NA,0.09,-13.61,0.2,"NA","0.45",NA,NA
"195","IC3131","E",8,3,NA,NA,NA,NA,0.058,-17.6,0.2,"-21.128","NA",NA,NA
"196","NGC4261","E",1242,250,11.836,8.71,315,15,0.06,-22.14,0.21,"-25.143","7.42",0.08,0.09
"197","NGC4262","S0",100,31,10.441,NA,189.7,14.3,0.116,-19.51,0.2,"-22.597","0.82",NA,NA
"198","UGC-7369","E",22,7,NA,NA,NA,NA,0.053,-16.17,0.2,"-18.534","0.84",NA,NA
"199","NGC4267","S0",179,17,10.905,NA,164.7,5.3,0.157,-20.22,0.2,"-23.171","3.18",NA,NA
"200","NGC4278","E",1100,300,11.147,0,237.2,5.2,0.095,-20.97,0.34,"-23.856","2.68",8.23,0
"201","NGC4291","E",950,170,11.077,8.98,242,12,0.121,-20.74,0.38,"-23.686","2.19",0.1,0.18
"202","VCC-437","S0",42,8,9.785,NA,47,6,0.084,-17.82,0.2,"-19.653","2.97",NA,NA
"203","VCC-452","E",18,6,NA,NA,23.8,1.1,0.077,-15.88,0.2,"NA","NA",NA,NA
"204","VCC-503","E",3,4,NA,NA,NA,NA,0.051,-14.88,0.2,"NA","NA",NA,NA
"205","VCC-529","E",4,4,NA,NA,NA,NA,0.065,-13.47,0.2,"NA","NA",NA,NA
"206","NGC4309A","E",1,4,NA,NA,NA,NA,0.054,-16.24,0.2,"-18.532","NA",NA,NA
"207","VCC-543","S0",18,6,9.265,NA,30.5,2,0.087,-17.41,0.2,"-19.648","2.13",NA,NA
"208","VCC-571","S0",11,6,NA,NA,NA,NA,0.059,-17.32,0.2,"-19.408","NA",NA,NA
"209","NGC4318","E",18,6,9.811,NA,95,3.9,0.083,-18.5,0.21,"-21.382","0.77",NA,NA
"210","VCC-646","E",5,5,NA,NA,NA,NA,0.082,-12.9,0.2,"NA","NA",NA,NA
"211","NGC4340","Irr",45,16,10.54,NA,116.3,3,0.072,-17.56,0.43,"-22.707","2.75",NA,NA
"212","NGC4350","S0",196,60,10.793,8.74,180.5,7.2,0.093,-20.05,0.2,"-23.147","2.05",0.1,0.1
"213","NGC4352","S0",114,12,9.957,NA,69.8,5.9,0.084,-18.86,0.2,"-21.495","2.00",NA,NA
"214","NGC4365","E",3246,598,11.679,NA,256.1,3.4,0.07,-22.35,0.2,"-25.207","7.83",NA,NA
"215","VCC-747","E",16,6,NA,NA,NA,NA,0.059,-15.47,0.2,"NA","NA",NA,NA
"216","IC3292","S0",9,4,NA,NA,NA,NA,0.091,-16.97,0.2,"-19.173","0.99",NA,NA
"217","NGC4371","S0",200,41,10.684,NA,137.1,2.6,0.122,-20.46,0.2,"-23.445","2.77",NA,NA
"218","NGC4374","E",4301,1201,11.648,8.96,296,14,0.134,-22.36,0.2,"-25.130","5.46",0.05,0.04
"219","NGC4377","S0",74,32,10.272,NA,144.1,9.8,0.12,-19.48,0.2,"-22.420","0.97",NA,NA
"220","NGC4379","S0",50,14,10.167,NA,115.9,4.8,0.077,-19.36,0.2,"-22.248","1.18",NA,NA
"221","NGC4382","S0",1110,181,11.347,0,178.7,5,0.103,-22.25,0.2,"-25.128","7.48",7.81,0
"222","NGC4387","E",70,10,10.115,NA,105,2.5,0.11,-19.27,0.2,"-22.135","1.27",NA,NA
"223","IC3328","E",43,8,9.131,NA,33.6,1.7,0.067,-17.57,0.2,"-19.837","1.29",NA,NA
"224","VCC-871","E",18,6,NA,NA,NA,NA,0.09,-16.36,0.2,"NA","1.42",NA,NA
"225","NGC4406","E",2800,200,11.814,NA,234.8,3.1,0.098,-22.36,0.2,"-25.071","12.69",NA,NA
"226","VCC-896","E",5,5,NA,NA,NA,NA,0.079,-13.97,0.2,"NA","0.66",NA,NA
"227","VCC-940","E",61,10,9.233,NA,32.4,1.7,0.084,-16.96,0.2,"-19.485","1.75",NA,NA
"228","NGC4417","S0",72,10,10.318,NA,135.2,2.7,0.081,-20,0.2,"-22.860","1.22",NA,NA
"229","NGC4417","S0",72,10,10.318,NA,135.2,2.7,0.081,-20,0.2,"-22.860","1.22",NA,NA
"230","VCC-949","E",23,7,NA,NA,NA,NA,0.084,-16.57,0.2,"NA","2.98",NA,NA
"231","VCC-965","E",15,5,9.535,NA,42,8,0.082,-16.37,0.2,"-18.397","2.09",NA,NA
"232","VCC-992","E",4,5,NA,NA,NA,NA,0.062,-15.87,0.2,"NA","0.79",NA,NA
"233","NGC4431","S0",11,5,9.564,NA,48.4,5.2,0.094,-18.2,0.2,"-20.695","1.68",NA,NA
"234","NGC4434","E",141,34,10.281,NA,120.2,2.9,0.074,-19.68,0.2,"-22.556","1.42",NA,NA
"235","NGC4435","S0",345,80,10.828,0,156.7,5.8,0.1,-20.4,0.2,"-23.821","2.94",6.88,0
"236","VCC-1049","S0",8,4,NA,NA,28,15,0.062,-16.69,0.2,"-19.492","NA",NA,NA
"237","NGC4442","S0",178,30,10.752,NA,186.7,8.6,0.073,-20.56,0.2,"-23.639","1.74",NA,NA
"238","VCC-1073","E",20,7,9.574,NA,44.5,2.1,0.076,-17.54,0.2,"-20.270","2.04",NA,NA
"239","VCC-1077","E",2,5,NA,NA,NA,NA,0.064,-12.55,0.2,"NA","NA",NA,NA
"240","NGC4449","Irr",12,5,NA,NA,NA,NA,0.064,-18.56,0.24,"-20.836","1.54",NA,NA
